latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
46.75967,32.95891,346.45,1.13,1.06,2023-07-10,1115,A,88,6.1NRT,303.24,52.49,D
46.76582,32.96547,327.47,1.13,1.06,2023-07-10,1115,A,42,6.1NRT,300.72,18.82,D
46.79573,32.97297,328.52,1.13,1.06,2023-07-10,1117,A,70,6.1NRT,303.78,19.63,D
47.53683,32.33758,322.17,1.1,1.05,2023-07-10,1117,A,54,6.1NRT,305.55,9.67,D
47.5461,32.33511,331.35,1.1,1.05,2023-07-10,1117,A,78,6.1NRT,308.58,21.88,D
47.54436,32.32059,323.17,1.1,1.05,2023-07-10,1117,A,68,6.1NRT,306.7,10.11,D
51.88892,29.33417,321.87,1.03,1.01,2023-07-10,1117,A,70,6.1NRT,302.69,14.62,D
51.61315,25.83381,307.38,1.04,1.02,2023-07-10,1117,A,16,6.1NRT,293.54,4.02,D
52.43313,28.02129,304.34,1,1,2023-07-10,1117,A,0,6.1NRT,288.78,3.53,D
58.68168,17.12288,318.41,1.33,1.14,2023-07-10,1119,A,0,6.1NRT,298.98,22.01,D
66.30546,14.17794,309.79,1.13,1.06,2023-07-10,1045,T,48,6.1NRT,297.75,6.53,D
51.48438,6.71072,319.78,1.66,1.27,2023-07-10,1049,T,0,6.1NRT,298.58,22.9,D
49.95919,8.00621,320.06,2.12,1.42,2023-07-10,1049,T,68,6.1NRT,295.16,34.07,D
49.22527,2.91889,311.75,1.3,1.13,2023-07-10,1049,T,61,6.1NRT,299.77,8.3,D
48.88069,2.79716,316.01,1.31,1.13,2023-07-10,1049,T,69,6.1NRT,298.11,11.71,D
48.87094,2.79282,325.11,1.31,1.13,2023-07-10,1049,T,80,6.1NRT,299.21,24,D
48.72857,1.58998,311.17,1.18,1.08,2023-07-10,1049,T,43,6.1NRT,296.39,5.54,D
48.25266,1.9614,310.64,1.24,1.11,2023-07-10,1049,T,60,6.1NRT,297.44,5.55,D
48.24946,1.97068,310.52,1.25,1.11,2023-07-10,1049,T,56,6.1NRT,296.77,5.44,D
47.95945,0.20673,317.28,1.1,1.05,2023-07-10,1049,T,54,6.1NRT,300.98,8.01,D
46.89404,0.57007,317.76,1.17,1.08,2023-07-10,1051,T,64,6.1NRT,299.91,11.43,D
46.89143,0.58482,324.15,1.17,1.08,2023-07-10,1051,T,77,6.1NRT,300.69,19.11,D
45.60012,0.06969,315.35,1.17,1.08,2023-07-10,1051,T,53,6.1NRT,301.52,7.51,D
45.25483,-0.68271,317.35,1.12,1.05,2023-07-10,1051,T,0,6.1NRT,301.45,8.85,D
44.91274,-0.53032,316.59,1.15,1.07,2023-07-10,1051,T,0,6.1NRT,302.51,7.09,D
